eventname, baseres, simpointres, errorRate
rollback_cycles,12799101.347721823,13181784.9059993,0.029899252133478292
dec_uops_not_delivered,188092910.69544372,186807271.2670639,-0.006835129636871404
iss_int_uops,247169842.6954437,250524515.7261259,0.013572339546356987
iss_fp_uops,2618.417266187048,1806.2951266999999,-0.3101576475126382
recovery_cycles,31164437.35731413,32959354.688202094,0.057595050098560766
fetch_lat_cause_cycles,80058174.47002392,77077910.41412878,-0.03722623049581316
no_exe_cycles,579800273.0599517,563473484.2337011,-0.028159332764857724
one_exe_cycles,96455454.5299761,97378932.29478261,0.009574137297953571
iq_empty_cycles,277422883.80575556,270369951.0886205,-0.025423038721179743
memstall_anyload_cycles,141929036.33573157,141118235.1853203,-0.005712722155692912
memstall_stores_cycles,28773889.412470017,27030801.397925097,-0.06057881121171962
fb_out_uops_num,1300416646.0887303,1274667453.3881602,-0.019800725235266776
dec_val_uops_num,1260887308.9184651,1230639297.617272,-0.023989464472553602
dec_fire_uops_num,251785719.33093527,257016373.53237078,0.020774229036240856
exe_misp_MPKI,8.488478343974135,9.615867353287792,0.1328140290437303
com_misp_MPKI,6.118733875247272,6.891683672283346,0.12632512098016968
user_ipc,0.2689735887777029,0.2742995717163191,0.019801137215066596
icache_to_l2_rate,0.0026798873748360885,0.0023269821590146352,-0.13168658471815003
itlb_to_ptw_rate,0.0014957662042883373,0.001554663096365035,0.03937573392676032
dcache_to_l2_rate,0.021680696256235518,0.023383722626692395,0.07855035421046844
dtlb_to_ptw_rate,0.1363197590150474,0.1393990015227561,0.02258837992347699
npc_from_f1_rate,0.9207787285575681,0.9169267018978803,-0.004183444447855786
npc_from_f2_rate,0.04826027333732523,0.05062968942874627,0.04909661565444349
npc_from_f3_rate,0.023786496879053126,0.024503444300683113,0.030140941950192984
l1_frontend_bound,0.12647421429411276,0.12809707902508774,0.012831585790294324
l1_bad_speculation,0.07362279425546489,0.07984221835612654,0.08447688197055886
l1_retire,0.13448679438885144,0.13714978585815954,0.019801137215066596
l1_backend_bound,0.6654161970615708,0.6549109167606262,-0.01578753319702047
l1_bad_spec_wpath,0.4307453947944928,0.4338629849265459,0.007237663291886118
l1_bad_spec_recovery,0.5692546052055073,0.566137015073454,-0.005476618201319207
l2_fetch_latency,0.10766269368133653,0.10570739687420382,-0.018161321626598594
l2_fetch_bandwidth,0.01881152061277623,0.022389682150883924,0.19021118025288777
l2_branch_mispredicts,0.045104178905008147,0.0501774543949963,0.11247905655643904
l2_machine_clears,0.028518615350456744,0.029664763961130235,0.04018949014841053
l2_memory_bound,0.22956227676935026,0.23060558918397925,0.004544790325795745
l2_core_bound,0.30679042643236243,0.3049159983226656,-0.006109799877050916
